monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
225.3,1142.0,552.0,7460.533825923816,1484942.0,8
225.4,1135.0,555.0,7460.533825923816,1484942.0,8
225.5,1124.0,548.0,7460.533825923816,1484942.0,8
225.6,1120.0,551.0,7460.533825923816,1484942.0,8
225.7,1120.0,552.0,7460.533825923816,1484942.0,8
225.8,1116.0,550.0,7460.533825923816,1484942.0,8
225.9,1113.0,551.0,7460.533825923816,1484942.0,8
226.0,1114.0,560.0,7460.533825923816,1484942.0,8
226.1,1120.0,564.0,7460.533825923816,1484942.0,8
226.2,1115.0,562.0,7460.533825923816,1484942.0,8
226.3,1123.0,563.0,7460.533825923816,1484942.0,8
226.4,1124.0,559.0,7460.533825923816,1484942.0,8
226.5,1126.0,555.0,7460.533825923816,1484942.0,8
226.6,1120.0,555.0,7460.533825923816,1484942.0,8
226.7,1120.0,551.0,7460.533825923816,1484942.0,8
226.8,1116.0,544.0,7460.533825923816,1484942.0,8
226.9,1117.0,544.0,7460.533825923816,1484942.0,8
227.0,1116.0,538.0,7460.533825923816,1484942.0,8
227.1,1118.0,537.0,7460.533825923816,1484942.0,8
227.2,1115.0,536.0,7460.533825923816,1484942.0,8
227.3,1107.0,531.0,7460.533825923816,1484942.0,8
227.4,1109.0,527.0,7460.533825923816,1484942.0,8
227.5,1110.0,527.0,7460.533825923816,1484942.0,8
227.6,1113.0,529.0,7460.533825923816,1484942.0,8
227.7,1109.0,529.0,7460.533825923816,1484942.0,8
227.8,1106.0,527.0,7460.533825923816,1484942.0,8
227.9,1106.0,528.0,7460.533825923816,1484942.0,8
228.0,1105.0,528.0,7460.533825923816,1484942.0,8
228.1,1106.0,529.0,7460.533825923816,1484942.0,8
228.2,1107.0,528.0,7460.533825923816,1484942.0,8
228.3,1107.0,531.0,7460.533825923816,1484942.0,8
228.4,1106.0,529.0,7460.533825923816,1484942.0,8
228.5,1103.0,528.0,7460.533825923816,1484942.0,8
228.6,1097.0,524.0,7460.533825923816,1484942.0,8
228.7,1096.0,521.0,7460.533825923816,1484942.0,8
228.8,1099.0,520.0,7460.533825923816,1484942.0,8
228.9,1100.0,518.0,7460.533825923816,1484942.0,8
229.0,1101.0,519.0,7460.533825923816,1484942.0,8
229.1,1094.0,519.0,7460.533825923816,1484942.0,8
229.2,1092.0,519.0,7460.533825923816,1484942.0,8
229.3,1089.0,518.0,7460.533825923816,1484942.0,8
229.4,1086.0,518.0,7460.533825923816,1484942.0,8
229.5,1085.0,517.0,7460.533825923816,1484942.0,8
229.6,1078.0,516.0,7460.533825923816,1484942.0,8
229.7,1077.0,514.0,7460.533825923816,1484942.0,8
229.8,1082.0,511.0,7460.533825923816,1484942.0,8
229.9,1078.0,512.0,7460.533825923816,1484942.0,8
230.0,1077.0,511.0,7460.533825923816,1484942.0,8
230.1,1072.0,507.0,7460.533825923816,1484942.0,8
230.2,1066.0,504.0,7460.533825923816,1484942.0,8
230.3,1071.0,500.0,7460.533825923816,1484942.0,8
230.4,1069.0,501.0,7086.33302164319,1487457.0,8
230.5,1067.0,497.0,7086.33302164319,1487457.0,8
230.6,1069.0,495.0,7086.33302164319,1487457.0,8
230.7,1065.0,494.0,7086.33302164319,1487457.0,8
230.8,1067.0,494.0,7086.33302164319,1487457.0,8
230.9,1061.0,491.0,6660.461868803342,1491542.0,8
231.0,1057.0,486.0,6217.978195945529,1497495.0,8
231.1,1050.0,482.0,5806.5577457233985,1501493.0,8
231.2,1052.0,481.0,5353.695774669152,1505108.0,8
231.3,1058.0,480.0,4928.699621236733,1512149.0,8
231.4,1059.0,480.0,4531.111418595101,1519477.0,8
231.5,1060.0,481.0,4531.111418595101,1519477.0,8
231.6,1058.0,479.0,4531.111418595101,1519477.0,8
231.7,1057.0,478.0,4531.111418595101,1519477.0,8
231.8,1051.0,471.0,4531.111418595101,1519477.0,8
231.9,1047.0,470.0,4531.111418595101,1519477.0,8
232.0,1047.0,470.0,4531.111418595101,1519477.0,8
232.1,1041.0,470.0,4531.111418595101,1519477.0,8
232.2,1036.0,471.0,3997.193817485821,1524744.0,8
232.3,1039.0,477.0,3997.193817485821,1524744.0,8
232.4,1038.0,478.0,3997.193817485821,1524744.0,8
232.5,1038.0,478.0,3997.193817485821,1524744.0,8
232.6,1026.0,476.0,3997.193817485821,1524744.0,8
232.7,1022.0,474.0,3997.193817485821,1524744.0,8
232.8,1018.0,471.0,3997.193817485821,1524744.0,8
232.9,1015.0,470.0,3997.193817485821,1524744.0,8
233.0,1021.0,471.0,3997.193817485821,1524744.0,8
233.1,1021.0,477.0,3997.193817485821,1524744.0,8
233.2,1022.0,476.0,3997.193817485821,1524744.0,8
233.3,1021.0,476.0,3997.193817485821,1524744.0,8
233.4,1017.0,472.0,3997.193817485821,1524744.0,8
233.5,1017.0,472.0,3997.193817485821,1524744.0,8
233.6,1006.0,473.0,3997.193817485821,1524744.0,8
233.7,1002.0,478.0,3997.193817485821,1524744.0,8
233.8,996.0,476.0,3997.193817485821,1524744.0,8
233.9,990.0,477.0,3997.193817485821,1524744.0,8
234.0,999.0,481.0,3997.193817485821,1524744.0,8
234.1,997.0,482.0,3997.193817485821,1524744.0,8
234.2,1006.0,480.0,3997.193817485821,1524744.0,8
234.3,1000.0,482.0,3997.193817485821,1524744.0,8
234.4,999.0,483.0,3997.193817485821,1524744.0,8
234.5,992.0,481.0,3997.193817485821,1524744.0,8
234.6,997.0,482.0,3997.193817485821,1524744.0,8
234.7,988.0,480.0,3997.193817485821,1524744.0,8
234.8,990.0,479.0,3997.193817485821,1524744.0,8
234.9,984.0,478.0,3997.193817485821,1524744.0,8
235.0,984.0,480.0,3997.193817485821,1524744.0,8
235.1,986.0,480.0,3997.193817485821,1524744.0,8
235.2,989.0,484.0,3997.193817485821,1524744.0,8
235.3,984.0,486.0,3997.193817485821,1524744.0,8
235.4,984.0,486.0,3997.193817485821,1524744.0,8
235.5,977.0,488.0,3997.193817485821,1524744.0,8
235.6,977.0,488.0,3997.193817485821,1524744.0,8
235.7,969.0,488.0,3997.193817485821,1524744.0,8
235.8,964.0,489.0,3997.193817485821,1524744.0,8
235.9,958.0,486.0,3997.193817485821,1524744.0,8
236.0,957.0,487.0,3997.193817485821,1524744.0,8
236.1,955.0,482.0,3997.193817485821,1524744.0,8
236.2,955.0,482.0,3997.193817485821,1524744.0,8
236.3,955.0,484.0,3997.193817485821,1524744.0,8
236.4,955.0,484.0,3997.193817485821,1524744.0,8
236.5,959.0,485.0,3997.193817485821,1524744.0,8
236.6,961.0,493.0,3997.193817485821,1524744.0,8
236.7,966.0,493.0,3997.193817485821,1524744.0,8
236.8,960.0,492.0,3997.193817485821,1524744.0,8
236.9,958.0,493.0,3997.193817485821,1524744.0,8
237.0,957.0,493.0,3997.193817485821,1524744.0,8
237.1,954.0,496.0,3997.193817485821,1524744.0,8
237.2,952.0,495.0,3997.193817485821,1524744.0,8
237.3,951.0,495.0,3997.193817485821,1524744.0,8
237.4,939.0,493.0,3997.193817485821,1524744.0,8
237.5,939.0,494.0,3997.193817485821,1524744.0,8
237.6,939.0,494.0,3997.193817485821,1524744.0,8
237.7,943.0,496.0,3997.193817485821,1524744.0,8
237.8,940.0,498.0,3997.193817485821,1524744.0,8
237.9,948.0,503.0,3997.193817485821,1524744.0,8
238.0,947.0,502.0,3997.193817485821,1524744.0,8
238.1,930.0,499.0,3997.193817485821,1524744.0,8
238.2,925.0,504.0,3997.193817485821,1524744.0,8
238.3,929.0,504.0,3997.193817485821,1524744.0,8
238.4,928.0,508.0,3997.193817485821,1524744.0,8
238.5,922.0,504.0,3997.193817485821,1524744.0,8
238.6,919.0,504.0,3997.193817485821,1524744.0,8
238.7,920.0,502.0,3997.193817485821,1524744.0,8
238.8,920.0,502.0,3997.193817485821,1524744.0,8
238.9,915.0,502.0,3997.193817485821,1524744.0,8
239.0,911.0,502.0,3997.193817485821,1524744.0,8
239.1,907.0,496.0,3997.193817485821,1524744.0,8
239.2,900.0,494.0,3997.193817485821,1524744.0,8
239.3,898.0,494.0,3997.193817485821,1524744.0,8
239.4,899.0,494.0,3997.193817485821,1524744.0,8
239.5,903.0,499.0,3997.193817485821,1524744.0,8
239.6,910.0,503.0,3997.193817485821,1524744.0,8
239.7,908.0,505.0,3997.193817485821,1524744.0,8
239.8,908.0,505.0,3997.193817485821,1524744.0,8
239.9,908.0,501.0,3997.193817485821,1524744.0,8
240.0,906.0,500.0,3997.193817485821,1524744.0,8
240.1,890.0,499.0,3997.193817485821,1524744.0,8
240.2,890.0,499.0,3997.193817485821,1524744.0,8
240.3,890.0,499.0,3997.193817485821,1524744.0,8
240.4,892.0,497.0,3997.193817485821,1524744.0,8
240.5,890.0,499.0,3997.193817485821,1524744.0,8
240.6,893.0,498.0,3997.193817485821,1524744.0,8
240.7,890.0,499.0,3997.193817485821,1524744.0,8
240.8,891.0,496.0,3997.193817485821,1524744.0,8
240.9,885.0,493.0,3997.193817485821,1524744.0,8
241.0,886.0,493.0,3997.193817485821,1524744.0,8
241.1,881.0,489.0,3997.193817485821,1524744.0,8
241.2,879.0,487.0,3997.193817485821,1524744.0,8
241.3,883.0,488.0,3997.193817485821,1524744.0,8
241.4,883.0,488.0,3997.193817485821,1524744.0,8
241.5,882.0,483.0,3997.193817485821,1524744.0,8
241.6,879.0,485.0,3997.193817485821,1524744.0,8
241.7,879.0,484.0,3997.193817485821,1524744.0,8
241.8,872.0,478.0,3997.193817485821,1524744.0,8
241.9,864.0,474.0,3997.193817485821,1524744.0,8
242.0,868.0,475.0,3997.193817485821,1524744.0,8
242.1,864.0,472.0,3997.193817485821,1524744.0,8
242.2,868.0,474.0,3997.193817485821,1524744.0,8
242.3,869.0,472.0,3997.193817485821,1524744.0,8
242.4,869.0,472.0,3997.193817485821,1524744.0,8
242.5,867.0,471.0,3997.193817485821,1524744.0,8
242.6,866.0,471.0,3997.193817485821,1524744.0,8
242.7,866.0,465.0,3997.193817485821,1524744.0,8
242.8,862.0,460.0,3997.193817485821,1524744.0,8
242.9,858.0,456.0,3997.193817485821,1524744.0,8
243.0,857.0,452.0,3997.193817485821,1524744.0,8
243.1,863.0,452.0,3997.193817485821,1524744.0,8
243.2,866.0,449.0,3997.193817485821,1524744.0,8
243.3,866.0,448.0,3997.193817485821,1524744.0,8
243.4,867.0,447.0,3997.193817485821,1524744.0,8
243.5,867.0,447.0,3997.193817485821,1524744.0,8
243.6,862.0,447.0,3997.193817485821,1524744.0,8
243.7,857.0,447.0,3997.193817485821,1524744.0,8
243.8,857.0,448.0,3997.193817485821,1524744.0,8
243.9,860.0,447.0,3997.193817485821,1524744.0,8
244.0,857.0,446.0,3997.193817485821,1524744.0,8
244.1,856.0,446.0,3997.193817485821,1524744.0,8
244.2,853.0,445.0,3997.193817485821,1524744.0,8
244.3,852.0,443.0,3997.193817485821,1524744.0,8
