monotonic_s,num_running_reqs_sum,num_queue_reqs_sum,num_used_tokens_sum,max_total_num_tokens_sum,token_usage_mean,pending_prealloc_token_usage_mean,num_servers_sampled
1215.8,489.0,5161.0,1544023.0,1580642.0,0.976733114376655,0.0,8
1215.9,485.0,5153.0,1537112.0,1580642.0,0.9723235865808701,0.0,8
1216.0,490.0,5151.0,1529471.0,1580642.0,0.9674482860617568,0.0,8
1216.1,490.0,5151.0,1529471.0,1580642.0,0.9674482860617568,0.0,8
1216.2,492.0,5149.0,1537664.0,1580642.0,0.9726757873250856,0.0,8
1216.3,487.0,5138.0,1538065.0,1580642.0,0.9729316433005031,0.0,8
1216.4,487.0,5138.0,1538065.0,1580642.0,0.9729316433005031,0.0,8
1216.5,489.0,5131.0,1533889.0,1580642.0,0.9707423654821521,0.0,8
1216.6,489.0,5131.0,1533889.0,1580642.0,0.9707423654821521,0.0,8
1216.7,479.0,5122.0,1527037.0,1580642.0,0.9663704823311294,0.0,8
1216.8,479.0,5122.0,1527037.0,1580642.0,0.9663704823311294,0.0,8
1216.9,482.0,5116.0,1534146.0,1580642.0,0.9709063430025568,0.0,8
1217.0,485.0,5105.0,1525844.0,1580642.0,0.9656092948531421,0.0,8
1217.1,487.0,5099.0,1526103.0,1580642.0,0.9656017901330919,0.0,8
1217.2,493.0,5099.0,1529966.0,1580642.0,0.9680665572977738,0.0,8
1217.3,493.0,5099.0,1529966.0,1580642.0,0.9680665572977738,0.0,8
1217.4,497.0,5097.0,1529947.0,1580642.0,0.9680544344460706,0.0,8
1217.5,502.0,5090.0,1522483.0,1580642.0,0.9632920678612439,0.0,8
1217.6,502.0,5087.0,1533737.0,1580642.0,0.9701805678920695,0.0,8
1217.7,503.0,5086.0,1537658.0,1580642.0,0.9726823416566873,0.0,8
1217.8,505.0,5085.0,1541760.0,1580642.0,0.9752996015348973,0.0,8
1217.9,502.0,5079.0,1521712.0,1580642.0,0.9625080788536797,0.0,8
1218.0,502.0,5079.0,1521712.0,1580642.0,0.9625080788536797,0.0,8
1218.1,503.0,5075.0,1525719.0,1580642.0,0.965062037212053,0.0,8
1218.2,503.0,5075.0,1525719.0,1580642.0,0.965062037212053,0.0,8
1218.3,502.0,5074.0,1525840.0,1580642.0,0.9651392406360567,0.0,8
1218.4,500.0,5071.0,1514582.0,1580642.0,0.9579561319795749,0.0,8
1218.5,497.0,5063.0,1534968.0,1580642.0,0.9709633138121417,0.0,8
1218.6,495.0,5059.0,1531220.0,1580642.0,0.9685719218025047,0.0,8
1218.7,493.0,5058.0,1526968.0,1580642.0,0.965858955200323,0.0,8
1218.8,493.0,5058.0,1526968.0,1580642.0,0.965858955200323,0.0,8
1218.9,488.0,5053.0,1526845.0,1580642.0,0.9657854837645837,0.0,8
1219.0,488.0,5049.0,1538868.0,1580642.0,0.9734566967133207,0.0,8
1219.1,491.0,5043.0,1530329.0,1580642.0,0.9680084319400308,0.0,8
1219.2,491.0,5043.0,1530329.0,1580642.0,0.9680084319400308,0.0,8
1219.3,492.0,5040.0,1534749.0,1580642.0,0.9708285900730605,0.0,8
1219.4,495.0,5038.0,1520455.0,1580642.0,0.9617056493459916,0.0,8
1219.5,497.0,5034.0,1520436.0,1580642.0,0.9616907170847251,0.0,8
1219.6,497.0,5034.0,1520436.0,1580642.0,0.9616907170847251,0.0,8
1219.7,496.0,5027.0,1516853.0,1580642.0,0.9594046024714568,0.0,8
1219.8,497.0,5022.0,1520872.0,1580642.0,0.961968904629069,0.0,8
1219.9,497.0,5022.0,1517516.0,1580642.0,0.9599642693580014,0.0,8
1220.0,492.0,5014.0,1537674.0,1580642.0,0.9728259769701312,0.0,8
1220.1,495.0,5009.0,1537324.0,1580642.0,0.9726026612808641,0.0,8
1220.2,495.0,5008.0,1537309.0,1580642.0,0.9725930906084671,0.0,8
1220.3,498.0,5005.0,1545163.0,1580642.0,0.9776109721128432,0.0,8
1220.4,500.0,5002.0,1529649.0,1580642.0,0.9677123446748739,0.0,8
1220.5,504.0,4998.0,1536692.0,1580642.0,0.9722060943877537,0.0,8
1220.6,504.0,4996.0,1540633.0,1580642.0,0.9745601669751429,0.0,8
1220.7,503.0,4993.0,1533231.0,1580642.0,0.9701536009678013,0.0,8
1220.8,502.0,4991.0,1529166.0,1580642.0,0.967559948748171,0.0,8
1220.9,501.0,4989.0,1529440.0,1580642.0,0.9677347730306257,0.0,8
1221.0,499.0,4983.0,1533371.0,1580642.0,0.9702429272435081,0.0,8
1221.1,501.0,4982.0,1533459.0,1580642.0,0.9702990751882382,0.0,8
1221.2,499.0,4981.0,1526204.0,1580642.0,0.9656700599721452,0.0,8
1221.3,501.0,4978.0,1518839.0,1580642.0,0.9609683354281408,0.0,8
